rank	config	model	sharpe	total_return	max_drawdown	win_rate	n_trades	f1	peak_f1	valley_f1
46	w[5, 10]|lb10	lr	1.111	81.88	45.05	42.6	47	0.1669	0.1319	0.2020
47	w[5, 10, 20]|lb20|atr|tr	rf	0.895	35.77	47.58	50.0	2	0.0000	0.0000	0.0000
48	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr|c0.60	lr	0.653	27.21	38.29	44.4	18	0.1210	0.1395	0.1026
49	w[5, 10, 20]|lb14|rsi|atr	rf	0.615	20.12	42.78	50.0	2	0.0526	0.0000	0.1053
50	w[5, 10]|lb10	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
51	w[5, 10, 20]|lb10	rf	0.000	0.00	0.00	0.0	0	0.0455	0.0909	0.0000
52	w[5, 10, 20]|lb10	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
53	w[5, 10, 20]|lb10|vol	rf	0.000	0.00	0.00	0.0	0	0.0625	0.1250	0.0000
54	w[5, 10, 20]|lb14|rsi	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
55	w[5, 10, 20]|lb20|macd	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
56	w[5, 10, 20]|lb20|bb	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
57	w[5, 10, 20]|lb14|atr	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
58	w[5, 10, 20]|lb14|tr	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
59	w[5, 10, 20]|lb14|stoch	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
60	w[5, 10, 20]|lb20|reg	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
61	w[5, 10, 20]|lb20|reg	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
62	w[5, 10, 20]|lb14|vol|rsi	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
63	w[5, 10, 20]|lb20|macd|bb	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
64	w[5, 10, 20]|lb14|rsi|atr	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
65	w[5, 10, 20]|lb20|macd|tr	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
66	w[5, 10, 20]|lb20|atr|tr	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
67	w[5, 10, 20]|lb20|macd|reg	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
68	w[5, 10, 20]|lb20|macd|reg	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
69	w[5, 10, 20]|lb14|rsi|reg	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
70	w[5, 10, 20]|lb20|vol|rsi|macd|bb	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
71	w[5, 10, 20]|lb20|vol|rsi|macd|bb	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
72	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
73	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
74	w[10, 20, 50]|lb30|vol|rsi|macd|bb	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
75	w[10, 20, 50]|lb30|vol|rsi|macd|bb	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
76	w[5, 10, 20]|lb20|macd|tr|reg	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
77	w[5, 10, 20]|lb20|macd|tr|stoch	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
78	w[5, 10, 20]|lb14|rsi|atr|reg	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
79	w[5, 10, 20]|lb20|macd|c0.55	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
80	w[5, 10, 20]|lb20|macd|c0.55	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
81	w[5, 10, 20]|lb20|macd|c0.60	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
82	w[5, 10, 20]|lb20|macd|c0.60	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
83	w[5, 10, 20]|lb20|macd|c0.65	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
84	w[5, 10, 20]|lb20|macd|c0.65	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
85	w[5, 10, 20]|lb14|rsi|atr|c0.55	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
86	w[5, 10, 20]|lb14|rsi|atr|c0.60	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
87	w[5, 10, 20]|lb14|rsi|atr|c0.60	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
88	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr|c0.55	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
89	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr|c0.55	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
90	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr|c0.60	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
91	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr|c0.60	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
92	w[5, 10, 20]|lb20|macd|tr|c0.55	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
93	w[5, 10, 20]|lb20|macd|tr|c0.55	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
94	w[5, 10, 20]|lb20|macd|tr|c0.60	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
95	w[5, 10, 20]|lb20|macd|tr|c0.60	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
96	w[5, 10, 20]|lb20|macd|stoch|c0.55	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
97	w[5, 10, 20]|lb14|rsi|atr|reg|c0.55	rf	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
98	w[5, 10, 20]|lb14|rsi|atr|reg|c0.55	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
99	w[5, 10, 20]|lb14|stoch	rf	-0.040	-5.22	47.58	0.0	1	0.0000	0.0000	0.0000
100	w[5, 10, 20]|lb14|vol|rsi	rf	-0.040	-5.22	47.58	0.0	1	0.0000	0.0000	0.0000
101	w[5, 10, 20]|lb20|macd|stoch	rf	-0.040	-5.22	47.58	0.0	1	0.0000	0.0000	0.0000
102	w[5, 10, 20]|lb14|rsi|reg	rf	-0.040	-5.22	47.58	0.0	1	0.0000	0.0000	0.0000
103	w[5, 10, 20]|lb20|macd|tr|stoch	rf	-0.040	-5.22	47.58	0.0	1	0.0000	0.0000	0.0000
104	w[5, 10, 20]|lb14|rsi|atr|reg	rf	-0.040	-5.22	47.58	0.0	1	0.0000	0.0000	0.0000
105	w[5, 10, 20]|lb14|rsi|atr|c0.55	rf	-0.089	-6.04	38.31	0.0	1	0.0000	0.0000	0.0000
106	w[5, 10, 20]|lb14|rsi|stoch	rf	-0.135	-13.26	47.58	0.0	2	0.0000	0.0000	0.0000
107	w[5, 10, 20]|lb14|rsi|stoch	gb	-0.251	-7.08	32.08	0.0	1	0.0000	0.0000	0.0000
108	w[5, 10, 20]|lb20|macd|stoch	gb	-0.251	-7.08	32.08	0.0	1	0.0000	0.0000	0.0000
109	w[5, 10, 20]|lb20|macd|stoch|c0.55	gb	-0.251	-7.08	32.08	0.0	1	0.0000	0.0000	0.0000
110	w[5]|lb5	lr	-0.486	-33.66	64.29	44.2	52	0.1438	0.1143	0.1732
111	w[5]|lb5	gb	-0.654	-6.51	7.80	0.0	1	0.0000	0.0000	0.0000
112	w[5, 10]|lb10	rf	-0.877	-12.17	13.95	0.0	2	0.0476	0.0952	0.0000
113	w[5, 10, 20]|lb10|vol	gb	-1.061	-5.86	5.86	0.0	1	0.0000	0.0000	0.0000
114	w[5, 10, 20]|lb20|rsi|macd|atr|tr	gb	-1.061	-5.86	5.86	0.0	1	0.0000	0.0000	0.0000
